year,invoices_total,top_1_share,top_5_share,top_10_share,customers_with_invoices
2002,98731.17,0.497578,0.999187,1.0,6
2003,68376.2,0.335352,0.966568,1.0,8
2004,64898.18,0.270339,0.847843,0.995319,12
2005,62825.71,0.394205,0.874268,0.981458,14
2006,260840.04,0.415321,0.892053,0.972477,20
2007,237363.32,0.352514,0.778401,0.961647,26
2008,197125.35,0.255669,0.760642,0.922722,29
2009,299584.4,0.291208,0.764209,0.931237,31
2010,274059.86,0.228919,0.780537,0.91363,32
2011,264345.56,0.293188,0.664147,0.840584,57
2012,606291.44,0.163238,0.483017,0.75004,73
2013,1080151.0,0.363709,0.706944,0.840286,104
2014,1286324.02,0.208,0.598056,0.783305,121
2015,1278650.73,0.228646,0.494048,0.680397,128
2016,1053226.33,0.251096,0.553152,0.696237,129
2017,1080892.36,0.18339,0.461418,0.660187,113
2018,1181264.18,0.187283,0.487473,0.728729,106
2019,1180144.61,0.13424,0.491039,0.68503,100
2020,886420.57,0.100492,0.448446,0.665889,100
2021,851236.0,0.20835,0.518244,0.681534,109
2022,807709.87,0.194949,0.47029,0.650473,95
2023,954527.76,0.230841,0.536365,0.68584,101
2024,744465.47,0.100758,0.428134,0.639474,85
2025,1859698.02,0.478124,0.73778,0.840611,83
2026,251527.64,0.480716,0.696,0.825527,46
