year,currency,invoice_total,share_of_year
2002,CAD,77149.97,0.781415
2002,USD,21581.2,0.218585
2003,CAD,48927.39,0.715562
2003,USD,19448.81,0.284438
2004,USD,40974.35,0.631364
2004,CAD,23923.83,0.368636
2005,USD,33188.67,0.528266
2005,CAD,29637.04,0.471734
2006,CAD,250294.61,0.959571
2006,USD,10545.43,0.040429
2006,UNKNOWN,0.0,0.0
2007,CAD,189615.05,0.798839
2007,UNKNOWN,28150.16,0.118595
2007,USD,19598.11,0.082566
2008,CAD,168123.18,0.852874
2008,USD,29002.17,0.147126
2008,UNKNOWN,0.0,0.0
2009,CAD,270770.61,0.903821
2009,USD,28813.79,0.096179
2009,UNKNOWN,0.0,0.0
2010,CAD,250949.72,0.915675
2010,USD,22210.14,0.081041
2010,UNKNOWN,900.0,0.003284
2011,CAD,249306.45,0.943108
2011,USD,15039.11,0.056892
2011,UNKNOWN,0.0,0.0
2012,CAD,588762.35,0.971088
2012,USD,17529.09,0.028912
2013,CAD,1067672.24,0.988447
2013,USD,12478.76,0.011553
2013,UNKNOWN,0.0,0.0
2014,CAD,1208477.08,0.939481
2014,USD,77846.95,0.060519
2015,CAD,1205028.54,0.942422
2015,USD,73622.19,0.057578
2015,UNKNOWN,0.0,0.0
2016,CAD,1026412.65,0.974541
2016,USD,26813.68,0.025459
2017,CAD,1059522.72,0.98023
2017,USD,21369.64,0.01977
2017,OTHER,0.0,0.0
2017,UNKNOWN,0.0,0.0
2018,CAD,1157660.62,0.980018
2018,USD,23603.56,0.019982
2018,UNKNOWN,0.0,0.0
2019,CAD,1164670.83,0.986888
2019,USD,15473.78,0.013112
2019,UNKNOWN,0.0,0.0
2020,CAD,827864.75,0.933941
2020,USD,58555.82,0.066059
2021,CAD,787437.48,0.925052
2021,USD,63798.52,0.074948
2022,CAD,744110.49,0.92126
2022,USD,63599.38,0.07874
2023,CAD,890661.27,0.933091
2023,USD,63866.49,0.066909
2024,CAD,683179.61,0.917678
2024,USD,61285.86,0.082322
2024,UNKNOWN,0.0,0.0
2025,CAD,1757632.78,0.945117
2025,USD,102065.24,0.054883
2025,UNKNOWN,0.0,0.0
2026,CAD,232187.03,0.923107
2026,USD,19340.61,0.076893
2026,UNKNOWN,0.0,0.0
