customer_name_norm,invoice_2024,invoice_2025,delta_2025_minus_2024,pct_change_2025_vs_2024
BC HYDRO,0.0,889166.19,889166.19,
FORTISBC ENERGY INC,0.0,275472.07,275472.07,
LEO WEB PROTECT,40220.23,80141.55,39921.32,0.992568
DIAMOND DELIVERY INC,14652.23,44401.22,29748.99,2.030339
THE CAPITAL MEDIA COMPANY,40361.85,70095.5,29733.65,0.736677
THE MORTGAGE GROUP SEE UNISON,0.0,8922.21,8922.21,
DMD & ASSOCIATES LTD,5766.68,13577.71,7811.03,1.354511
OPENSPACE ARCHITECTURE,20427.83,27735.25,7307.42,0.357719
NIKKEI NATIONAL MUSEUM & CULTURAL CENTRE,0.0,5865.05,5865.05,
CHILD & FAMILY RESEARCH INSTITUTE,14430.71,19968.1,5537.39,0.383722
THE GROCERY OUTLET,0.0,5202.5,5202.5,
THE JAPAN FOUNDATION TORONTO,0.0,4078.4,4078.4,
PIRATE SOUND INC,3462.04,7062.5,3600.46,1.039982
IT PROMO,9553.47,13074.69,3521.22,0.36858
PACIFIC SLEEP CARE,15688.77,18957.62,3268.85,0.208356
"C & E SPECIALTIES, INC",9479.85,12686.48,3206.63,0.338258
DW PAGE WEALTH MGT,761.88,3840.59,3078.71,4.040938
ATLANTIC CANADA CONSERVATION DATA CENTRE,904.17,3653.86,2749.69,3.041121
D2O,0.0,2493.75,2493.75,
CHINOOK PUMPS LTD,5482.05,7888.51,2406.46,0.438971
COASTAL TESTING & INSPECTIONS LTD,434.26,2473.91,2039.65,4.696841
COVE MORTGAGE LTD,945.0,2676.71,1731.71,1.832497
MARK SIX IT SOLUTIONS,-1521.98,0.0,1521.98,-1.0
DREAMS TAKE FLIGHT,165.9,1673.67,1507.77,9.088427
SELECT COMMUNICATIONS INC,314.21,1742.87,1428.66,4.546832
THE BRYAN ADAMS FOUNDATION,900.0,1880.0,980.0,1.088889
WESGROUP,1966.27,2898.84,932.57,0.474284
BRUCE ALLEN TALENT,4880.44,5735.37,854.93,0.175175
CITRUS O,3931.22,4756.19,824.97,0.209851
PHS COMMUNITY SERVICES SOCIETY,0.0,751.76,751.76,
BY DOMAIN WEB SERVICES INC,5105.75,5698.19,592.44,0.116033
ANTLER CREEK LOGGING LTD,2209.09,2727.28,518.19,0.234572
KATHERINE NEWMAN DESIGN,4259.37,4720.39,461.02,0.108237
BCCDC HARM REDUCTION SERVICES,6355.81,6725.22,369.41,0.058122
SPRINKLER WORKS REMOVE 2028,0.0,324.46,324.46,
MEDUCATION SERVICES PROFESSIONAL CORPORATION,2627.25,2855.42,228.17,0.086847
ROCKY MOUNTAIN NEUROSURGICAL SOCIETY,1350.0,1571.51,221.51,0.164081
PINNACLE FOOD EQUIPMENT SERVICES LLP,2090.32,2281.0,190.68,0.09122
JECO INC,135.45,285.55,150.1,1.108158
RONALD PETERSON,428.64,567.0,138.36,0.322788
ART GALLERY OF ALBERTA,0.0,137.81,137.81,
PERFORMANCE OBJECTS INC,2724.99,2857.32,132.33,0.048562
THE CANADA HOMESTAY NETWORK,10504.94,10629.37,124.43,0.011844
CREATIVE THINKING,666.3,784.2,117.9,0.176947
COMPLY TECH LLC,448.85,547.84,98.99,0.220541
MANPOWER COMPLIANCE,806.28,891.96,85.68,0.106266
SCHUMACHER FARMS,1242.0,1320.0,78.0,0.062802
PANDA ENVIRONMENTAL SERVICES INC,1222.53,1296.57,74.04,0.060563
NORTHWEST FOOD PRODUCTS,519.67,581.46,61.79,0.118902
TRC INNOVATIONS,318.66,379.94,61.28,0.192318
8 HANDS AND 8 FEET PUBLISHING INC,372.96,426.05,53.09,0.142348
HUNT PERSONNEL TEMPORARILY YOURS,263.34,294.73,31.39,0.119201
BC WOMENS HOSPITAL,0.0,24.34,24.34,
COASTAL JAZZ,1844.59,1863.63,19.04,0.010322
FUNDACION SAN JUAN DEL CASTILLO,469.94,487.84,17.9,0.03809
LESSON STUDY ALLIANCE,415.5,425.0,9.5,0.022864
ABSTRAK,46.13,55.36,9.23,0.200087
BEL-TECH CONSTRUCTION LTD,3654.83,3654.84,0.01,3e-06
CHARTER TELECOM INC,12640.32,12640.32,0.0,0.0
COLOUR AND STYLE PRINTING,0.0,0.0,0.0,
DYNAMIC STRUCTURES LTD,0.0,0.0,0.0,
KENNA’S CRYSTALS CORP,0.0,0.0,0.0,
MICHAEL BUBLE,0.0,0.0,0.0,
NEO CODE SOFTWARE LIMITED,0.0,0.0,0.0,
NEW ST PAUL'S HOSPITAL PROJECT,0.0,0.0,0.0,
NUAJ COMPANY INC,0.0,0.0,0.0,
PRECEDE OCCUPATIONAL HEALTH,0.0,0.0,0.0,
PRO SHOP PARTNER,0.0,0.0,0.0,
REAL FOOD FOR REAL KIDS,0.0,0.0,0.0,
TERRA SANO,0.0,0.0,0.0,
THE MABIN SCHOOL,0.0,0.0,0.0,
UNKNOWN,0.0,0.0,0.0,
WESTAC,505.4,505.4,0.0,0.0
WRA WILDLIFE RESCUE ASSOCIATION OF BC,0.0,0.0,0.0,
FARIDA AINI,25.76,0.0,-25.76,-1.0
ARTS AND HERITAGE ST ALBERT,1576.06,1531.16,-44.9,-0.028489
ASSOCIATED LABELS,11998.38,11945.37,-53.01,-0.004418
ACCULOGIC,504.17,448.52,-55.65,-0.110379
MACINTOSH APPRAISALS LTD.,1044.51,918.95,-125.56,-0.120209
THE LIVE SYNDICATE,200.03,0.0,-200.03,-1.0
THE ROZSA FOUNDATION,853.39,627.86,-225.53,-0.264275
"ATLANTIS SUBMARINES (INTERNATIONAL HOLDINGS), INC",236.25,0.0,-236.25,-1.0
SPRINKLER WORKS,632.84,324.46,-308.38,-0.487295
"CHILD DEVELOPMENT, REHABILITION AND SPECIALIZED PEDIATRICS, BC CHILDRENS HOSPITAL",324.4,0.0,-324.4,-1.0
KRAMER DESIGN ASSOCIATES,1992.47,1559.4,-433.07,-0.217353
ADAMS COMMUNICATIONS INC,15623.68,15047.93,-575.75,-0.036851
LOS ANGELES COUNTY REGIONAL TRAINING CENTER,579.27,0.0,-579.27,-1.0
CUMMINS PERFORMANCE GROUP LLC,625.6,0.0,-625.6,-1.0
TOTAL ENTERTAINMENT NETWORK,634.09,0.0,-634.09,-1.0
SELCOM INDUSTRIES,2349.48,1545.6,-803.88,-0.342152
HARBOUR AUTHORITY OF CORTES ISLAND,1050.0,0.0,-1050.0,-1.0
TANTALUS SYSTEMS CORP,1404.48,0.0,-1404.48,-1.0
GREAT LITTLE BOX COMPANY,7642.78,5941.39,-1701.39,-0.222614
CHILD HEALTH BC HIP SURVEILLANCE PROGRAM,2081.0,349.13,-1731.87,-0.83223
ITICKETS,4507.27,2546.5,-1960.77,-0.435024
ILWU LOCAL 502,2397.15,385.21,-2011.94,-0.839305
UNIVERSITY OF CALGARY,3381.0,0.0,-3381.0,-1.0
CLUB HOUSE CONTROL SOFTWARE,4245.1,521.5,-3723.6,-0.877152
WESTPOINT CONFERENCE SERVICES,7877.59,3681.55,-4196.04,-0.532655
0723024 BC LTD,4503.71,0.0,-4503.71,-1.0
CASCADIA MOTIVATION,7045.08,1989.39,-5055.69,-0.71762
NISGA'A VALLEY HEALTH AUTHOURITY,6000.96,0.0,-6000.96,-1.0
NIKKEI NATIONAL MUSEUM,21303.68,12110.43,-9193.25,-0.431533
KIDNEY TRANSPLANT PROGRAM VGH,38737.73,28751.52,-9986.21,-0.25779
METLAKATLA FIRST NATION,14855.58,2823.52,-12032.06,-0.809935
INNER CITY DIESEL,73920.0,57172.5,-16747.5,-0.226563
BLANCHE MACDONALD CENTRE,63481.98,45346.05,-18135.93,-0.285686
UNISON SOFTWARE INC,65955.84,45001.12,-20954.72,-0.317708
UBC GERIATRIC DENTISTRY PROGRAM,36646.42,8725.53,-27920.89,-0.7619
THE MORTGAGE GROUP TMG,75011.04,0.0,-75011.04,-1.0
