month_start,invoices_total,forecast_invoices,forecast_low,forecast_high,is_forecast
2002-02-01,0.0,,,,0
2002-03-01,0.0,,,,0
2002-04-01,7645.1,,,,0
2002-05-01,15500.46,,,,0
2002-06-01,13043.2,,,,0
2002-07-01,20444.62,,,,0
2002-08-01,8429.3,,,,0
2002-09-01,13632.1,,,,0
2002-10-01,8121.0,,,,0
2002-11-01,7983.01,,,,0
2002-12-01,3932.38,,,,0
2003-01-01,8951.25,,,,0
2003-02-01,6914.65,,,,0
2003-03-01,6452.59,,,,0
2003-04-01,9590.75,,,,0
2003-05-01,882.25,,,,0
2003-06-01,1411.08,,,,0
2003-07-01,2193.75,,,,0
2003-08-01,4357.4,,,,0
2003-09-01,8343.13,,,,0
2003-10-01,3032.0,,,,0
2003-11-01,8839.15,,,,0
2003-12-01,7408.2,,,,0
2004-01-01,10058.78,,,,0
2004-02-01,6198.95,,,,0
2004-03-01,4546.61,,,,0
2004-04-01,5349.65,,,,0
2004-05-01,7179.15,,,,0
2004-06-01,4511.28,,,,0
2004-07-01,3131.15,,,,0
2004-08-01,3823.35,,,,0
2004-09-01,4354.15,,,,0
2004-10-01,3136.25,,,,0
2004-11-01,5739.75,,,,0
2004-12-01,6869.11,,,,0
2005-01-01,7818.35,,,,0
2005-02-01,5602.15,,,,0
2005-03-01,2121.9,,,,0
2005-04-01,3900.78,,,,0
2005-05-01,5397.65,,,,0
2005-06-01,3786.95,,,,0
2005-07-01,2958.85,,,,0
2005-08-01,2465.27,,,,0
2005-09-01,7494.7,,,,0
2005-10-01,9768.45,,,,0
2005-11-01,6119.44,,,,0
2005-12-01,5391.21,,,,0
2006-01-01,2799.44,,,,0
2006-02-01,6211.43,,,,0
2006-03-01,5344.4,,,,0
2006-04-01,2258.85,,,,0
2006-05-01,37229.4,,,,0
2006-06-01,52835.97,,,,0
2006-07-01,51684.64,,,,0
2006-08-01,13227.33,,,,0
2006-09-01,15975.09,,,,0
2006-10-01,25986.52,,,,0
2006-11-01,22216.91,,,,0
2006-12-01,25070.06,,,,0
2007-01-01,31671.79,,,,0
2007-02-01,38545.65,,,,0
2007-03-01,25967.46,,,,0
2007-04-01,16734.9,,,,0
2007-05-01,11783.54,,,,0
2007-06-01,14269.46,,,,0
2007-07-01,28372.3,,,,0
2007-08-01,10298.4,,,,0
2007-09-01,4723.79,,,,0
2007-10-01,21595.54,,,,0
2007-11-01,21574.18,,,,0
2007-12-01,11826.32,,,,0
2008-01-01,32131.8,,,,0
2008-02-01,16708.55,,,,0
2008-03-01,6567.21,,,,0
2008-04-01,14916.86,,,,0
2008-05-01,13959.01,,,,0
2008-06-01,16872.89,,,,0
2008-07-01,14316.79,,,,0
2008-08-01,13143.62,,,,0
2008-09-01,18068.72,,,,0
2008-10-01,18670.42,,,,0
2008-11-01,15359.16,,,,0
2008-12-01,16410.33,,,,0
2009-01-01,27954.21,,,,0
2009-02-01,26812.83,,,,0
2009-03-01,19984.74,,,,0
2009-04-01,42990.6,,,,0
