year,invoice_rows,invoices_total,median_invoice,p75_invoice,p90_invoice,p95_invoice,negative_share
2002,51,96142.01,909.5,2249.1,5170.82,7915.3,0.019608
2003,108,68376.2,202.16,483.0,1699.15,3357.12,0.0
2004,176,64898.18,214.0,481.5,938.25,1275.64,0.0
2005,178,62825.71,149.0,422.65,959.22,1300.05,0.0
2006,198,260782.41,222.83,559.96,4791.46,8833.33,0.005051
2007,229,237363.32,248.7,848.0,2474.73,5562.36,0.0
2008,323,197125.35,271.81,680.4,1494.36,2585.7,0.0
2009,413,297607.95,260.0,840.0,1480.71,2088.0,0.012107
2010,384,265255.79,264.53,959.84,1421.28,2708.88,0.010417
2011,546,259629.89,152.78,532.0,1165.26,1923.6,0.003663
2012,862,606291.44,205.42,626.65,1601.04,3125.25,0.0
2013,1040,1079518.2,196.28,717.17,1909.83,3173.78,0.000962
2014,1249,1285849.56,150.15,693.0,2330.85,4597.6,0.003203
2015,1350,1264382.34,171.28,789.47,2885.4,5090.51,0.007407
2016,1192,1049128.39,169.05,733.95,2251.71,4617.27,0.004195
2017,1113,1071882.55,178.5,829.78,2518.32,4447.28,0.005391
2018,987,1179423.73,293.48,1212.75,3098.76,5686.8,0.007092
2019,1075,1177571.57,451.5,1443.49,2810.33,4729.46,0.007442
2020,940,877742.88,303.19,1226.33,2835.0,3616.11,0.005319
2021,977,846570.79,327.6,1003.28,2225.5,3417.96,0.008188
2022,955,804139.64,269.33,977.0,2239.75,4504.5,0.004188
2023,887,953652.99,315.0,945.0,2356.36,4582.21,0.00451
2024,816,737684.76,300.13,1046.01,2402.28,3647.1,0.008578
2025,967,1855727.67,265.66,1091.13,3350.24,6288.98,0.005171
2026,134,251527.64,357.77,1607.04,3505.08,5767.34,0.0
