invoice_month,year,month,invoice_rows,payment_rows,credit_rows,invoices_total,payments_total,credits_total,net_total
2002-02,2002,2,0,1,0,0.0,14520.0,0.0,-14520.0
2002-03,2002,3,0,2,0,0.0,2480.5,0.0,-2480.5
2002-04,2002,4,1,4,0,7645.1,6309.5,0.0,1335.6
2002-05,2002,5,6,3,0,12911.3,13653.5,0.0,-742.2
2002-06,2002,6,3,3,0,13043.2,15938.5,0.0,-2895.3
2002-07,2002,7,6,3,0,20444.62,10083.0,0.0,10361.62
2002-08,2002,8,4,3,0,8429.3,18968.02,0.0,-10538.72
2002-09,2002,9,7,6,0,13632.1,13918.8,0.0,-286.7
2002-10,2002,10,10,4,1,8121.0,10893.9,-1000.0,-3772.9
2002-11,2002,11,8,7,0,7983.01,6197.78,0.0,1785.23
2002-12,2002,12,6,3,0,3932.38,5107.2,0.0,-1174.82
2003-01,2003,1,6,2,0,8951.25,3537.5,0.0,5413.75
2003-02,2003,2,6,2,0,6914.65,6807.2,0.0,107.45
2003-03,2003,3,10,5,1,6452.59,8421.3,70.8,-1897.91
2003-04,2003,4,9,0,0,9590.75,0.0,0.0,9590.75
2003-05,2003,5,5,3,0,882.25,9531.0,0.0,-8648.75
2003-06,2003,6,7,4,0,1411.08,4654.5,0.0,-3243.42
2003-07,2003,7,6,2,1,2193.75,1594.4,35.4,634.75
2003-08,2003,8,8,5,0,4357.4,5087.71,0.0,-730.31
2003-09,2003,9,15,4,0,8343.13,9981.5,0.0,-1638.37
2003-10,2003,10,11,2,1,3032.0,2671.75,-588.5,-228.25
2003-11,2003,11,10,2,0,8839.15,5588.5,0.0,3250.65
2003-12,2003,12,15,3,4,7408.2,2736.9,-2254.25,2417.05
2004-01,2004,1,20,7,1,10058.78,8523.53,1091.47,2626.72
2004-02,2004,2,16,4,0,6198.95,2481.84,0.0,3717.11
2004-03,2004,3,16,10,1,4546.61,12310.5,-754.0,-8517.89
2004-04,2004,4,17,6,2,5349.65,4566.65,396.55,1179.55
2004-05,2004,5,16,4,0,7179.15,4661.13,0.0,2518.02
2004-06,2004,6,16,8,3,4511.28,6309.5,-288.26,-2086.48
2004-07,2004,7,12,5,1,3131.15,4296.5,-1412.92,-2578.27
2004-08,2004,8,14,7,0,3823.35,2873.9,0.0,949.45
2004-09,2004,9,11,7,1,4354.15,8613.2,-21.4,-4280.45
2004-10,2004,10,12,6,2,3136.25,3980.0,1359.42,515.67
2004-11,2004,11,12,4,0,5739.75,5594.5,0.0,145.25
2004-12,2004,12,14,8,1,6869.11,5739.76,-107.0,1022.35
2005-01,2005,1,15,3,0,7818.35,3456.0,0.0,4362.35
2005-02,2005,2,11,5,0,5602.15,2488.7,0.0,3113.45
2005-03,2005,3,10,8,0,2121.9,11422.0,0.0,-9300.1
2005-04,2005,4,12,1,0,3900.78,2000.0,0.0,1900.78
2005-05,2005,5,14,6,1,5397.65,2575.1,-152.48,2670.07
2005-06,2005,6,16,7,0,3786.95,7101.14,0.0,-3314.19
2005-07,2005,7,12,7,0,2958.85,7431.89,0.0,-4473.04
2005-08,2005,8,10,5,0,2465.27,3196.75,0.0,-731.48
2005-09,2005,9,12,3,0,7494.7,2283.55,0.0,5211.15
2005-10,2005,10,14,6,0,9768.45,3366.82,0.0,6401.63
2005-11,2005,11,15,8,0,6119.44,5854.35,0.0,265.09
2005-12,2005,12,37,13,4,5391.21,7288.05,-385.38,-2282.22
2006-01,2006,1,17,4,2,2741.81,1032.51,-81.85,1627.45
2006-02,2006,2,12,6,0,6211.43,6142.43,0.0,69.0
2006-03,2006,3,12,9,2,5344.4,6943.94,1601.0,1.46
2006-04,2006,4,14,6,2,2258.85,5333.79,-208.65,-3283.59
2006-05,2006,5,19,8,0,37229.4,18621.04,0.0,18608.36
2006-06,2006,6,16,11,2,52835.97,20877.67,-2544.46,29413.84
2006-07,2006,7,20,10,1,51684.64,42008.96,-259.7,9415.98
2006-08,2006,8,13,8,6,13227.33,33348.86,-31462.38,-51583.91
2006-09,2006,9,13,4,1,15975.09,5813.78,-551.2,9610.11
2006-10,2006,10,19,6,1,25986.52,17268.0,-565.0,8153.52
2006-11,2006,11,21,8,1,22216.91,41232.34,-641.3,-19656.73
2006-12,2006,12,22,5,0,25070.06,7918.13,0.0,17151.93
2007-01,2007,1,19,8,2,31671.79,23248.56,-1123.6,7299.63
2007-02,2007,2,14,8,0,38545.65,13176.75,0.0,25368.9
2007-03,2007,3,21,6,1,25967.46,22774.38,-1459.62,1733.46
2007-04,2007,4,14,5,0,16734.9,3741.65,0.0,12993.25
2007-05,2007,5,18,11,3,11783.54,38383.36,-1666.55,-28266.37
2007-06,2007,6,18,9,1,14269.46,17949.72,-67.8,-3748.06
2007-07,2007,7,22,9,1,28372.3,19310.49,-9699.0,-637.19
2007-08,2007,8,20,7,4,10298.4,4378.33,-1810.31,4109.76
2007-09,2007,9,14,14,1,4723.79,15776.76,-96.9,-11149.87
2007-10,2007,10,23,12,0,21595.54,29370.05,0.0,-7774.51
2007-11,2007,11,22,9,1,21574.18,18677.2,-135.54,2761.44
2007-12,2007,12,24,8,1,11826.32,11775.61,-27.12,23.59
2008-01,2008,1,30,5,1,32131.8,13378.93,-800.0,17952.87
2008-02,2008,2,23,9,3,16708.55,18132.05,-546.9,-1970.4
2008-03,2008,3,17,10,0,6567.21,9732.02,0.0,-3164.81
2008-04,2008,4,20,11,1,14916.86,15330.08,-252.62,-665.84
2008-05,2008,5,29,14,2,13959.01,19793.0,-643.39,-6477.38
2008-06,2008,6,19,12,0,16872.89,8746.25,0.0,8126.64
2008-07,2008,7,26,14,1,14316.79,26061.4,-3150.0,-14894.61
2008-08,2008,8,29,10,0,13143.62,7570.28,0.0,5573.34
2008-09,2008,9,30,18,0,18068.72,19215.02,0.0,-1146.3
2008-10,2008,10,36,18,0,18670.42,18173.75,0.0,496.67
2008-11,2008,11,33,23,1,15359.16,16277.73,-341.25,-1259.82
2008-12,2008,12,31,15,1,16410.33,17672.63,-148.05,-1410.35
2009-01,2009,1,36,21,0,27954.21,18130.44,0.0,9823.77
2009-02,2009,2,34,19,0,26812.83,25405.29,0.0,1407.54
2009-03,2009,3,31,23,2,19984.74,27437.59,-10405.82,-17858.67
2009-04,2009,4,35,14,1,42990.6,26021.96,-367.5,16601.14
2009-05,2009,5,35,20,1,21424.05,19062.46,-29.4,2332.19
2009-06,2009,6,40,23,3,26804.72,16930.95,-6332.9,3540.87
2009-07,2009,7,38,22,1,35745.51,14978.74,-450.45,20316.32
2009-08,2009,8,31,18,4,10346.64,21327.27,-1891.78,-12872.41
2009-09,2009,9,39,26,2,19951.04,15607.49,-7234.5,-2890.95
2009-10,2009,10,35,21,3,18577.7,19484.82,-2394.0,-3301.12
2009-11,2009,11,32,23,0,37805.3,18094.72,0.0,19710.58
2009-12,2009,12,27,28,2,9210.61,21392.91,-875.21,-13057.51
2010-01,2010,1,29,16,0,15005.47,12337.08,0.0,2668.39
2010-02,2010,2,28,17,2,19529.22,14040.27,-562.0,4926.95
2010-03,2010,3,32,14,0,27291.26,11501.93,0.0,15789.33
2010-04,2010,4,26,16,0,29301.99,15825.09,0.0,13476.9
2010-05,2010,5,27,20,0,17853.03,48023.1,0.0,-30170.08
2010-06,2010,6,31,23,3,17494.89,16933.92,-3255.0,-2694.03
2010-07,2010,7,34,23,0,22621.9,23066.49,0.0,-444.59
2010-08,2010,8,28,15,1,20077.55,6222.04,-873.6,12981.91
2010-09,2010,9,40,31,0,33505.58,46349.41,0.0,-12843.83
2010-10,2010,10,38,20,4,26431.68,18579.05,-363.89,7488.74
2010-11,2010,11,38,25,1,22171.5,30662.89,-152.99,-8644.38
2010-12,2010,12,33,26,5,13971.73,17255.17,-5097.9,-8381.34
2011-01,2011,1,48,35,2,34338.54,13086.79,-78.4,21173.35
2011-02,2011,2,42,35,2,24990.44,27954.11,-453.6,-3417.27
2011-03,2011,3,41,28,2,17391.45,23088.75,-106.4,-5803.7
2011-04,2011,4,38,31,1,13005.15,28045.83,-135.0,-15175.68
2011-05,2011,5,36,27,1,11247.07,7582.93,-218.4,3445.74
2011-06,2011,6,42,28,0,15180.45,19851.96,0.0,-4671.51
2011-07,2011,7,47,35,3,32584.01,15435.07,-412.08,16736.86
2011-08,2011,8,38,35,0,20656.52,19628.45,0.0,1028.07
2011-09,2011,9,55,33,1,32984.37,28171.51,-117.6,4695.26
2011-10,2011,10,59,26,2,15708.02,16047.67,-257.67,-597.32
2011-11,2011,11,56,40,1,32133.22,22621.63,-336.0,9175.59
2011-12,2011,12,44,34,1,9410.65,17522.33,-336.0,-8447.68
2012-01,2012,1,66,40,5,26966.51,16449.37,-2912.0,7605.13
2012-02,2012,2,58,42,1,55034.66,33982.27,-784.0,20268.39
2012-03,2012,3,50,39,4,44090.59,45587.51,-4487.44,-5984.36
2012-04,2012,4,63,30,5,47252.36,22491.65,-7690.08,17070.63
2012-05,2012,5,68,53,5,81354.49,52705.22,-13268.67,15380.6
2012-06,2012,6,68,35,5,64954.03,63483.28,-2706.11,-1235.37
2012-07,2012,7,69,46,4,36495.79,69296.08,-5899.88,-38700.17
2012-08,2012,8,60,40,0,40769.82,34635.82,0.0,6134.0
2012-09,2012,9,86,44,1,40357.28,39469.03,-62.72,825.53
2012-10,2012,10,91,51,3,40990.23,48808.88,-1470.0,-9288.65
2012-11,2012,11,105,49,2,79779.59,38476.56,-259.6,41043.43
2012-12,2012,12,78,42,3,48246.08,70552.97,-295.92,-22602.81
2013-01,2013,1,95,46,1,56533.85,49472.94,-3861.76,3199.15
2013-02,2013,2,93,51,2,54479.46,51430.61,-121.6,2927.25
2013-03,2013,3,94,59,1,86680.61,89932.93,-431.2,-3683.52
2013-04,2013,4,85,52,2,68218.1,50977.7,-642.2,16598.2
2013-05,2013,5,88,57,0,85521.35,79500.12,0.0,6021.23
2013-06,2013,6,86,51,4,93953.03,64704.6,-1134.1,28114.33
2013-07,2013,7,100,59,2,135810.04,64193.2,-17425.54,54191.29
2013-08,2013,8,77,51,1,105444.43,122556.33,-13.13,-17125.03
2013-09,2013,9,81,47,4,88437.47,147344.51,-75.08,-58982.12
2013-10,2013,10,83,51,4,102421.84,83668.91,-454.43,18298.5
2013-11,2013,11,82,52,3,100358.25,83245.72,-1662.76,15449.77
2013-12,2013,12,76,46,0,101659.78,32588.98,0.0,69070.8
2014-01,2014,1,97,62,2,124575.03,146456.1,1825.2,-20055.87
2014-02,2014,2,90,71,5,122913.57,98832.4,-2701.05,21380.12
2014-03,2014,3,98,49,3,161003.14,35275.09,-188.2,125539.85
2014-04,2014,4,105,75,3,126499.06,136640.98,-9587.18,-19729.1
2014-05,2014,5,103,70,3,115426.82,152614.07,-16215.49,-53402.74
2014-06,2014,6,110,67,9,110292.81,207328.56,-11949.66,-108985.41
2014-07,2014,7,112,65,2,89426.36,88796.94,-378.0,251.42
2014-08,2014,8,102,33,0,74990.13,32611.56,0.0,42378.57
2014-09,2014,9,111,94,7,88706.21,130753.09,-1456.21,-43503.09
2014-10,2014,10,110,72,3,90598.21,78588.12,-2168.64,9841.45
2014-11,2014,11,107,71,0,96518.91,101804.14,0.0,-5285.23
2014-12,2014,12,104,66,8,84899.32,106660.8,-1556.45,-23317.93
2015-01,2015,1,111,57,2,90523.12,65167.52,-497.25,24858.34
2015-02,2015,2,122,73,4,114427.0,76108.44,-701.36,37617.2
2015-03,2015,3,121,80,3,111211.81,137746.86,-1420.0,-27955.05
2015-04,2015,4,108,100,3,76277.35,100308.66,-9859.5,-33890.81
2015-05,2015,5,96,25,4,117188.72,75193.33,-17826.74,24168.65
2015-06,2015,6,136,75,3,118215.58,68065.27,-17910.58,32239.73
2015-07,2015,7,141,78,9,124452.93,149285.46,-14653.17,-39485.7
2015-08,2015,8,120,82,3,130062.19,80943.79,-103.87,49014.53
2015-09,2015,9,96,73,8,101664.32,116600.95,-1377.96,-16314.59
2015-10,2015,10,96,74,4,112405.06,121215.26,-3714.75,-12524.95
2015-11,2015,11,101,68,4,96925.46,119543.47,-762.91,-23380.93
2015-12,2015,12,102,57,3,71028.8,90125.64,-1278.34,-20375.18
2016-01,2016,1,101,52,2,69177.16,43277.16,-1278.5,24621.5
2016-02,2016,2,104,66,7,95173.82,65251.7,-374.34,29547.78
2016-03,2016,3,131,75,13,121984.55,86143.57,-14080.56,21760.42
2016-04,2016,4,117,72,3,104338.28,110484.79,-3263.36,-9409.87
