year,customer_name_norm,gross_invoices,positive_adjustments,credits_abs,net_invoiced,payments,year_net_delta,running_balance
2008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0723024 BC LTD,3298.0,0.0,0.0,3298.0,3298.0,0.0,0.0
2018,0723024 BC LTD,9228.8,0.0,0.0,9228.8,9206.4,22.4,22.4
2019,0723024 BC LTD,3475.5,0.0,0.0,3475.5,3314.15,161.35,183.75
2020,0723024 BC LTD,12245.44,0.0,0.0,12245.44,12429.19,-183.75,0.0
2021,0723024 BC LTD,1527.4,0.0,241.5,1285.9,1285.9,0.0,0.0
2022,0723024 BC LTD,1309.07,0.0,29.4,1279.67,1309.07,-29.4,-29.4
2023,0723024 BC LTD,3431.4,0.0,0.0,3431.4,3431.4,0.0,-29.4
2024,0723024 BC LTD,4503.71,0.0,0.0,4503.71,4803.96,-300.25,-329.65
2025,0723024 BC LTD,3431.4,0.0,0.0,3431.4,0.0,3431.4,3101.75
2012,0938120 BC LTD,23185.12,0.0,1176.0,22009.12,22046.08,-36.96,-36.96
2012,0938120 BC LTD CREDIT BANDIT,1814.4,0.0,0.0,1814.4,0.0,1814.4,1814.4
2013,0938120 BC LTD CREDIT BANDIT,16280.25,0.0,0.0,16280.25,10706.85,5573.4,7387.8
2014,0938120 BC LTD CREDIT BANDIT,42166.99,0.0,945.0,41221.99,48081.89,-6859.9,527.9
2015,0938120 BC LTD CREDIT BANDIT,1230.6,0.0,0.0,1230.6,1721.54,-490.94,36.96
2016,0938120 BC LTD CREDIT BANDIT,124.95,0.0,103.95,21.0,21.0,0.0,36.96
2017,0938120 BC LTD CREDIT BANDIT,0.0,0.0,0.0,0.0,0.0,0.0,36.96
2003,"1STDATARECOVERY.COM
",0.0,0.0,0.0,0.0,110.21,-110.21,-110.21
2014,4H SOLUTIONS,60119.31,0.0,608.34,59510.97,31403.35,28107.62,28107.62
2015,4H SOLUTIONS,58922.69,0.0,2500.0,56422.69,55373.0,1049.69,29157.31
2016,4H SOLUTIONS,5106.0,0.0,0.0,5106.0,13303.41,-8197.41,20959.9
2014,8 HANDS AND 8 FEET PUBLISHING INC,1103.56,0.0,0.0,1103.56,1103.56,0.0,0.0
2015,8 HANDS AND 8 FEET PUBLISHING INC,215.25,0.0,0.0,215.25,215.25,0.0,0.0
2016,8 HANDS AND 8 FEET PUBLISHING INC,152.25,0.0,0.0,152.25,152.25,0.0,0.0
2017,8 HANDS AND 8 FEET PUBLISHING INC,152.25,0.0,0.0,152.25,152.25,0.0,0.0
2018,8 HANDS AND 8 FEET PUBLISHING INC,194.25,0.0,0.0,194.25,194.25,0.0,0.0
2019,8 HANDS AND 8 FEET PUBLISHING INC,220.5,0.0,0.0,220.5,220.5,0.0,0.0
2021,8 HANDS AND 8 FEET PUBLISHING INC,346.5,0.0,0.0,346.5,346.5,0.0,0.0
2022,8 HANDS AND 8 FEET PUBLISHING INC,346.5,0.0,0.0,346.5,346.5,0.0,0.0
2023,8 HANDS AND 8 FEET PUBLISHING INC,363.77,0.0,0.0,363.77,363.77,0.0,0.0
2024,8 HANDS AND 8 FEET PUBLISHING INC,372.96,0.0,0.0,372.96,372.96,0.0,0.0
2025,8 HANDS AND 8 FEET PUBLISHING INC,426.05,0.0,0.0,426.05,426.05,0.0,0.0
2002,ABSTRAK,27291.8,0.0,1000.0,26291.8,26871.6,-579.8,-579.8
2003,ABSTRAK,18147.31,0.0,2415.0,15732.31,12700.0,3032.31,2452.51
2004,ABSTRAK,10380.05,0.0,0.0,10380.05,12000.0,-1619.95,832.56
2005,ABSTRAK,173.8,0.0,0.0,173.8,1018.0,-844.2,-11.64
2006,ABSTRAK,87.95,0.0,0.0,87.95,100.0,-12.05,-23.69
2007,ABSTRAK,0.0,23.69,0.0,23.69,0.0,23.69,0.0
2008,ABSTRAK,40.0,0.0,0.0,40.0,40.0,0.0,0.0
2009,ABSTRAK,40.0,0.0,0.0,40.0,40.0,0.0,0.0
2010,ABSTRAK,2108.5,0.0,0.0,2108.5,3040.0,-931.5,-931.5
2011,ABSTRAK,45.0,0.0,0.0,45.0,0.0,45.0,-886.5
2012,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,-886.5
2013,ABSTRAK,45.0,841.5,0.0,886.5,0.0,886.5,0.0
2014,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,0.0
2015,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,0.0
2016,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,0.0
2017,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,0.0
2018,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,0.0
2019,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,0.0
2020,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,0.0
2022,ABSTRAK,45.0,0.0,0.0,45.0,45.0,0.0,0.0
2023,ABSTRAK,46.13,0.0,0.0,46.13,46.13,0.0,0.0
2024,ABSTRAK,46.13,0.0,0.0,46.13,46.13,0.0,0.0
2025,ABSTRAK,55.36,0.0,0.0,55.36,55.36,0.0,0.0
2026,ABSTRAK,58.36,0.0,0.0,58.36,0.0,58.36,58.36
2021,ACCESS MRI SURREY CLINIC INC,173.25,0.0,0.0,173.25,0.0,173.25,173.25
2014,ACCOUNTING PLUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,ACCULOGIC,225.75,0.0,0.0,225.75,225.75,0.0,0.0
2016,ACCULOGIC,585.38,0.0,0.0,585.38,585.38,0.0,0.0
2017,ACCULOGIC,586.95,0.0,0.0,586.95,529.2,57.75,57.75
2018,ACCULOGIC,729.75,0.0,15.23,714.52,787.5,-72.98,-15.23
2019,ACCULOGIC,696.15,0.0,0.0,696.15,696.15,0.0,-15.23
2020,ACCULOGIC,554.4,0.0,0.0,554.4,554.4,0.0,-15.23
2021,ACCULOGIC,822.15,0.0,0.0,822.15,822.15,0.0,-15.23
2022,ACCULOGIC,530.57,0.0,18.11,512.46,530.57,-18.11,-33.34
2023,ACCULOGIC,759.24,0.0,6.74,752.5,752.5,0.0,-33.34
2024,ACCULOGIC,504.17,0.0,0.0,504.17,504.17,0.0,-33.34
2025,ACCULOGIC,448.52,0.0,0.0,448.52,448.52,0.0,-33.34
2026,ACCULOGIC,74.34,0.0,0.0,74.34,74.34,0.0,-33.34
2012,ACCULOGIC TECHNOLOGIES INC,49.0,0.0,0.0,49.0,49.0,0.0,0.0
2014,ACCULOGIC TECHNOLOGIES INC,50.4,0.0,0.0,50.4,50.4,0.0,0.0
2017,ACDC CONTRACTING,2079.0,0.0,0.0,2079.0,2079.0,0.0,0.0
2018,ACDC CONTRACTING,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,ACDC CONTRACTING,7276.51,0.0,0.0,7276.51,7276.51,0.0,0.0
