year,gross_invoices,positive_adjustments,credits_abs,net_invoiced,payments,collection_ratio
2002,98731.17,0.0,1000.0,97731.17,118070.7,1.208117
2003,68376.2,614.7,3351.25,65639.65,60612.26,0.923409
2004,64898.18,3522.94,3259.08,65162.04,69951.01,1.073493
2005,62825.71,79.0,616.86,62287.85,58464.35,0.938616
2006,260840.04,1922.0,36635.54,226126.5,206541.45,0.913389
2007,237363.32,23.69,16110.13,221276.88,218562.86,0.987735
2008,197125.35,0.0,5882.21,191243.14,190983.14,0.99864
2009,299584.4,0.0,29981.56,269602.84,246072.04,0.912721
2010,274059.86,0.0,10305.38,263754.48,261696.44,0.992197
2011,264345.56,0.0,2451.15,261894.41,244721.75,0.934429
2012,606291.44,0.0,39836.42,566455.02,539521.04,0.952452
2013,1080151.0,1470.66,27292.46,1054329.2,922602.28,0.875061
2014,1286324.02,1825.2,46200.88,1241948.34,1316554.78,1.060072
2015,1278650.73,1800.0,71906.43,1208544.3,1221192.17,1.010465
2016,1053226.33,5174.0,42743.07,1015657.26,1020970.25,1.005231
2017,1080892.36,0.0,189446.67,891445.7,899917.15,1.009503
2018,1181264.18,15.75,47693.35,1133586.58,1091443.33,0.962823
2019,1180144.61,0.0,43365.47,1136779.14,1138477.13,1.001494
2020,886420.57,0.0,33771.91,852648.66,974708.9,1.143154
2021,851236.0,1355.86,26326.32,826265.54,826511.95,1.000298
2022,807709.87,625.0,37137.77,771197.1,801863.11,1.039764
2023,954527.76,0.0,34580.85,919946.91,907868.65,0.986871
2024,744465.47,0.0,22312.87,722152.6,736418.95,1.019755
2025,1859698.02,115.2,49453.22,1810360.0,1731899.78,0.95666
2026,251527.64,0.0,313.05,251214.59,246989.9,0.983183
