rank_2025,customer_name_norm,invoice_rows,invoice_total,share_of_2025,cumulative_share_2025,in_2025_pareto_80
1,BC HYDRO,46,889166.19,0.478124,0.478124,1
2,FORTISBC ENERGY INC,27,275472.07,0.148127,0.626251,1
3,LEO WEB PROTECT,115,80141.55,0.043094,0.669345,1
4,THE CAPITAL MEDIA COMPANY,42,70095.5,0.037692,0.707037,1
5,INNER CITY DIESEL,11,57172.5,0.030743,0.73778,1
6,BLANCHE MACDONALD CENTRE,8,45346.05,0.024384,0.762163,1
7,UNISON SOFTWARE INC,19,45001.12,0.024198,0.786362,1
8,DIAMOND DELIVERY INC,23,44401.22,0.023875,0.810237,0
9,KIDNEY TRANSPLANT PROGRAM VGH,26,28751.52,0.01546,0.825697,0
10,OPENSPACE ARCHITECTURE,25,27735.25,0.014914,0.840611,0
11,CHILD & FAMILY RESEARCH INSTITUTE,23,19968.1,0.010737,0.851348,0
12,PACIFIC SLEEP CARE,15,18957.62,0.010194,0.861542,0
13,ADAMS COMMUNICATIONS INC,15,15047.93,0.008092,0.869634,0
14,DMD & ASSOCIATES LTD,25,13577.71,0.007301,0.876935,0
15,IT PROMO,18,13074.69,0.007031,0.883966,0
16,"C & E SPECIALTIES, INC",26,12686.48,0.006822,0.890787,0
17,CHARTER TELECOM INC,1,12640.32,0.006797,0.897584,0
18,NIKKEI NATIONAL MUSEUM,9,12110.43,0.006512,0.904096,0
19,ASSOCIATED LABELS,2,11945.37,0.006423,0.91052,0
20,THE CANADA HOMESTAY NETWORK,1,10629.37,0.005716,0.916235,0
21,THE MORTGAGE GROUP SEE UNISON,6,8922.21,0.004798,0.921033,0
22,UBC GERIATRIC DENTISTRY PROGRAM,22,8725.53,0.004692,0.925725,0
23,CHINOOK PUMPS LTD,2,7888.51,0.004242,0.929967,0
24,PIRATE SOUND INC,3,7062.5,0.003798,0.933764,0
25,BCCDC HARM REDUCTION SERVICES,5,6725.22,0.003616,0.937381,0
26,GREAT LITTLE BOX COMPANY,9,5941.39,0.003195,0.940575,0
27,NIKKEI NATIONAL MUSEUM & CULTURAL CENTRE,11,5865.05,0.003154,0.943729,0
28,BRUCE ALLEN TALENT,14,5735.37,0.003084,0.946813,0
29,BY DOMAIN WEB SERVICES INC,12,5698.19,0.003064,0.949877,0
30,THE GROCERY OUTLET,10,5202.5,0.002797,0.952675,0
31,CITRUS O,14,4756.19,0.002558,0.955232,0
32,KATHERINE NEWMAN DESIGN,3,4720.39,0.002538,0.957771,0
33,THE JAPAN FOUNDATION TORONTO,1,4078.4,0.002193,0.959964,0
34,WESTPOINT CONFERENCE SERVICES,11,3996.75,0.002149,0.962113,0
35,DW PAGE WEALTH MGT,11,3840.59,0.002065,0.964178,0
36,BEL-TECH CONSTRUCTION LTD,1,3654.84,0.001965,0.966143,0
37,ATLANTIC CANADA CONSERVATION DATA CENTRE,4,3653.86,0.001965,0.968108,0
38,0723024 BC LTD,1,3431.4,0.001845,0.969953,0
39,WESGROUP,3,2898.84,0.001559,0.971512,0
40,PERFORMANCE OBJECTS INC,12,2857.32,0.001536,0.973048,0
41,MEDUCATION SERVICES PROFESSIONAL CORPORATION,2,2855.42,0.001535,0.974584,0
42,METLAKATLA FIRST NATION,2,2823.52,0.001518,0.976102,0
43,ANTLER CREEK LOGGING LTD,3,2727.28,0.001467,0.977569,0
44,COVE MORTGAGE LTD,3,2676.71,0.001439,0.979008,0
45,ITICKETS,3,2586.5,0.001391,0.980399,0
46,D2O,1,2493.75,0.001341,0.98174,0
47,COASTAL TESTING & INSPECTIONS LTD,4,2473.91,0.00133,0.98307,0
48,PINNACLE FOOD EQUIPMENT SERVICES LLP,12,2281.0,0.001227,0.984296,0
49,CASCADIA MOTIVATION,4,1989.39,0.00107,0.985366,0
50,THE BRYAN ADAMS FOUNDATION,3,1880.0,0.001011,0.986377,0
