year,invoice_rows,payment_rows,credit_rows,invoices_total,payments_total,credits_total,net_total
2002,51,39,1,96142.01,118070.7,-1000.0,-22928.69
2003,108,34,7,68376.2,60612.26,-2736.55,5027.39
2004,176,76,12,64898.18,69951.01,263.86,-4788.97
2005,178,72,5,62825.71,58464.35,-537.86,3823.5
2006,198,85,18,260782.41,206541.45,-34713.54,19527.42
2007,229,106,15,237363.32,218562.86,-16086.44,2714.02
2008,323,159,10,197125.35,190083.14,-5882.21,1160.0
2009,413,258,19,297607.95,243874.64,-29981.56,23751.75
2010,384,246,16,265255.79,260796.44,-10305.38,-5846.03
2011,546,387,16,259629.89,239037.03,-2451.15,18141.71
2012,862,511,38,606291.44,535938.64,-39836.42,30516.38
2013,1040,622,24,1079518.2,919616.55,-25821.8,134079.85
2014,1249,795,45,1285849.56,1316361.84,-44375.68,-74887.97
2015,1350,842,50,1264382.34,1200304.65,-70106.43,-6028.74
2016,1192,753,56,1049128.39,1013574.68,-37569.07,-2015.36
2017,1113,672,60,1071882.55,897065.25,-189446.67,-14629.36
2018,987,674,30,1179423.73,1077681.69,-47677.6,54064.44
2019,1075,796,28,1177571.57,1128335.62,-43365.47,5870.48
2020,940,721,21,877742.88,966864.05,-33771.91,-122893.08
2021,977,715,44,846570.79,818888.59,-24970.46,2711.74
2022,955,612,27,804139.64,801550.47,-36512.77,-33923.6
2023,887,677,25,953652.99,907143.57,-34580.85,11928.57
2024,816,542,17,737684.76,735768.16,-22312.87,-20396.27
2025,967,579,17,1855727.67,1731774.83,-49338.02,74614.82
2026,134,84,1,251527.64,246989.9,-313.05,4224.69
